,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,52,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,53,0,0,0,0,0,1,0,0,0,0,0,0
3,0,0,0,45,0,0,0,0,0,0,0,0,0,0,2
4,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0
5,0,0,3,0,0,41,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0
7,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0
8,0,0,1,0,0,0,0,0,45,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,46,0,0,3,0,1
10,0,0,0,1,0,0,0,0,0,0,51,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0
12,0,0,0,1,0,0,0,0,1,1,0,0,46,0,1
13,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
