,TP,FP,TN,FN,Acurracy,Precision,Recall,F1-Score
0,108,1,0,1391,0.072,0.9908256880724855,0.07204803202134276,0.1343283581963003
1,107,0,0,1393,0.07133333333333333,0.9999999999990654,0.07133333333332857,0.13316739264467842
2,89,5,2,1404,0.059333333333333335,0.9468085106372907,0.05961152042866312,0.11216131063786461
3,97,0,0,1403,0.06466666666666666,0.999999999998969,0.06466666666666235,0.12147777080886286
4,107,0,1,1392,0.07133333333333333,0.9999999999990654,0.07138092061373773,0.13325031132004928
5,94,1,4,1401,0.06266666666666666,0.9894736842094848,0.0628762541805978,0.11823899369944123
6,86,1,1,1412,0.05733333333333333,0.9885057471253006,0.057409879839782546,0.10851735014733967
7,90,3,1,1406,0.06,0.9677419354828304,0.06016042780748261,0.11327879168185395
8,85,3,6,1406,0.056666666666666664,0.9659090909079933,0.057008718980546144,0.10766307788686469
9,102,2,4,1392,0.068,0.9807692307682877,0.06827309236947333,0.12765957445589998
10,108,1,1,1390,0.072,0.9908256880724855,0.07209612817088971,0.13441194771602477
11,108,1,0,1391,0.072,0.9908256880724855,0.07204803202134276,0.1343283581963003
12,89,7,5,1399,0.059333333333333335,0.9270833333323676,0.059811827956985225,0.11237373736233659
13,95,1,1,1403,0.06333333333333334,0.9895833333323025,0.06341789052069002,0.11919698869631898
14,108,1,1,1390,0.072,0.9908256880724855,0.07209612817088971,0.13441194771602477
