,TP,FP,TN,FN,Acurracy,Precision,Recall,F1-Score
0,104,7,4,1385,0.06933333333333333,0.9369369369360928,0.06984553391537475,0.1299999999870713
1,106,3,1,1390,0.07066666666666667,0.9724770642192913,0.07085561497325729,0.13208722740165363
2,86,4,5,1405,0.05733333333333333,0.9555555555544938,0.05767940979208198,0.10879190384756666
3,85,7,12,1396,0.056666666666666664,0.9239130434772566,0.057393652937200716,0.10807374442635381
4,101,3,7,1389,0.06733333333333333,0.9711538461529123,0.06778523489932431,0.12672521956118682
5,96,4,2,1398,0.064,0.95999999999904,0.06425702811244549,0.12045169384016974
6,82,1,5,1412,0.05466666666666667,0.9879518072277254,0.05488621151271386,0.10399492706674249
7,86,6,5,1403,0.05733333333333333,0.9347826086946361,0.05775688381463682,0.10879190384734279
8,90,2,1,1407,0.06,0.978260869564154,0.060120240480957904,0.11327879168196518
9,94,9,12,1385,0.06266666666666666,0.9126213592224149,0.06355645706558055,0.11883691528490356
10,102,5,7,1386,0.068,0.9532710280364922,0.06854838709676958,0.12789968650784325
11,108,0,0,1392,0.072,0.9999999999990741,0.07199999999999519,0.13432835819640787
12,78,22,16,1384,0.052,0.77999999999922,0.05335157318741085,0.09987195901489145
13,93,7,3,1397,0.062,0.92999999999907,0.062416107382546146,0.11698113206366947
14,100,9,9,1382,0.06666666666666667,0.9174311926597087,0.0674763832658524,0.12570710243850935
